2q, intensity
1.718900000000000006e+01,2.200000000000000000e+01
1.720942000000000149e+01,0.000000000000000000e+00
1.722983999999999938e+01,2.400000000000000000e+01
1.725027000000000044e+01,0.000000000000000000e+00
1.727068999999999832e+01,0.000000000000000000e+00
1.729110999999999976e+01,0.000000000000000000e+00
1.731153000000000119e+01,0.000000000000000000e+00
1.733195999999999870e+01,0.000000000000000000e+00
1.735238000000000014e+01,0.000000000000000000e+00
1.737280000000000157e+01,0.000000000000000000e+00
1.739322999999999908e+01,0.000000000000000000e+00
1.741365000000000052e+01,0.000000000000000000e+00
1.743406999999999840e+01,4.300000000000000000e+01
1.745449999999999946e+01,2.800000000000000000e+01
1.747492000000000090e+01,0.000000000000000000e+00
1.749533999999999878e+01,3.000000000000000000e+01
1.751576000000000022e+01,0.000000000000000000e+00
1.753619000000000128e+01,0.000000000000000000e+00
1.755660999999999916e+01,1.300000000000000000e+01
1.757703000000000060e+01,2.500000000000000000e+01
1.759746000000000166e+01,1.700000000000000000e+01
1.761787999999999954e+01,0.000000000000000000e+00
1.763830000000000098e+01,0.000000000000000000e+00
1.765872999999999848e+01,5.000000000000000000e+00
1.767914999999999992e+01,0.000000000000000000e+00
1.769957000000000136e+01,4.200000000000000000e+01
1.771998999999999924e+01,0.000000000000000000e+00
1.774042000000000030e+01,0.000000000000000000e+00
1.776084000000000174e+01,2.200000000000000000e+01
1.778125999999999962e+01,2.500000000000000000e+01
1.780169000000000068e+01,0.000000000000000000e+00
1.782210999999999856e+01,0.000000000000000000e+00
1.784253000000000000e+01,1.600000000000000000e+01
1.786296000000000106e+01,1.000000000000000000e+00
1.788337999999999894e+01,3.000000000000000000e+00
1.790380000000000038e+01,2.000000000000000000e+00
1.792421999999999827e+01,0.000000000000000000e+00
1.794464999999999932e+01,0.000000000000000000e+00
1.796507000000000076e+01,1.000000000000000000e+01
1.798548999999999864e+01,0.000000000000000000e+00
1.800591999999999970e+01,2.100000000000000000e+01
1.802634000000000114e+01,7.000000000000000000e+00
1.804675999999999902e+01,0.000000000000000000e+00
1.806719000000000008e+01,0.000000000000000000e+00
1.808761000000000152e+01,1.800000000000000000e+01
1.810802999999999940e+01,0.000000000000000000e+00
1.812845000000000084e+01,2.500000000000000000e+01
1.814887999999999835e+01,0.000000000000000000e+00
1.816929999999999978e+01,0.000000000000000000e+00
1.818972000000000122e+01,0.000000000000000000e+00
1.821014999999999873e+01,0.000000000000000000e+00
1.823057000000000016e+01,3.500000000000000000e+01
1.825099000000000160e+01,0.000000000000000000e+00
1.827141999999999911e+01,0.000000000000000000e+00
1.829184000000000054e+01,2.400000000000000000e+01
1.831225999999999843e+01,3.000000000000000000e+01
1.833267999999999986e+01,9.000000000000000000e+00
1.835311000000000092e+01,0.000000000000000000e+00
1.837352999999999881e+01,2.000000000000000000e+00
1.839395000000000024e+01,0.000000000000000000e+00
1.841438000000000130e+01,1.600000000000000000e+01
1.843479999999999919e+01,0.000000000000000000e+00
1.845522000000000062e+01,2.000000000000000000e+00
1.847565000000000168e+01,1.100000000000000000e+01
1.849606999999999957e+01,0.000000000000000000e+00
1.851649000000000100e+01,2.600000000000000000e+01
1.853690999999999889e+01,1.900000000000000000e+01
1.855733999999999995e+01,0.000000000000000000e+00
1.857776000000000138e+01,0.000000000000000000e+00
1.859817999999999927e+01,3.600000000000000000e+01
1.861861000000000033e+01,1.200000000000000000e+01
1.863903000000000176e+01,4.000000000000000000e+01
1.865944999999999965e+01,3.300000000000000000e+01
1.867988000000000071e+01,2.800000000000000000e+01
1.870029999999999859e+01,1.400000000000000000e+01
1.872072000000000003e+01,0.000000000000000000e+00
1.874114000000000146e+01,2.300000000000000000e+01
1.876156999999999897e+01,1.300000000000000000e+01
1.878199000000000041e+01,0.000000000000000000e+00
1.880240999999999829e+01,0.000000000000000000e+00
1.882283999999999935e+01,1.700000000000000000e+01
1.884326000000000079e+01,2.100000000000000000e+01
1.886367999999999867e+01,1.300000000000000000e+01
1.888410999999999973e+01,1.500000000000000000e+01
1.890453000000000117e+01,0.000000000000000000e+00
1.892494999999999905e+01,0.000000000000000000e+00
1.894537000000000049e+01,1.400000000000000000e+01
1.896580000000000155e+01,2.300000000000000000e+01
1.898621999999999943e+01,9.000000000000000000e+00
1.900664000000000087e+01,0.000000000000000000e+00
1.902706999999999837e+01,0.000000000000000000e+00
1.904748999999999981e+01,1.400000000000000000e+01
1.906791000000000125e+01,0.000000000000000000e+00
1.908833999999999875e+01,0.000000000000000000e+00
1.910876000000000019e+01,0.000000000000000000e+00
1.912918000000000163e+01,0.000000000000000000e+00
1.914959999999999951e+01,7.000000000000000000e+00
1.917003000000000057e+01,0.000000000000000000e+00
1.919044999999999845e+01,1.700000000000000000e+01
1.921086999999999989e+01,2.600000000000000000e+01
1.923130000000000095e+01,0.000000000000000000e+00
1.925171999999999883e+01,0.000000000000000000e+00
1.927214000000000027e+01,5.400000000000000000e+01
1.929257000000000133e+01,1.900000000000000000e+01
1.931298999999999921e+01,0.000000000000000000e+00
1.933341000000000065e+01,4.000000000000000000e+01
1.935382999999999853e+01,0.000000000000000000e+00
1.937425999999999959e+01,1.600000000000000000e+01
1.939468000000000103e+01,0.000000000000000000e+00
1.941509999999999891e+01,3.100000000000000000e+01
1.943552999999999997e+01,8.000000000000000000e+00
1.945595000000000141e+01,0.000000000000000000e+00
1.947636999999999929e+01,2.000000000000000000e+00
1.949680000000000035e+01,6.000000000000000000e+00
1.951721999999999824e+01,2.700000000000000000e+01
1.953763999999999967e+01,1.400000000000000000e+01
1.955806000000000111e+01,0.000000000000000000e+00
1.957848999999999862e+01,1.700000000000000000e+01
1.959891000000000005e+01,1.300000000000000000e+01
1.961933000000000149e+01,0.000000000000000000e+00
1.963975999999999900e+01,0.000000000000000000e+00
1.966018000000000043e+01,1.800000000000000000e+01
1.968059999999999832e+01,0.000000000000000000e+00
1.970102999999999938e+01,0.000000000000000000e+00
1.972145000000000081e+01,2.800000000000000000e+01
1.974186999999999870e+01,0.000000000000000000e+00
1.976229000000000013e+01,0.000000000000000000e+00
1.978272000000000119e+01,2.200000000000000000e+01
1.980313999999999908e+01,1.300000000000000000e+01
1.982356000000000051e+01,0.000000000000000000e+00
1.984399000000000157e+01,1.100000000000000000e+01
1.986440999999999946e+01,7.000000000000000000e+00
1.988483000000000089e+01,8.000000000000000000e+00
1.990525999999999840e+01,0.000000000000000000e+00
1.992567999999999984e+01,0.000000000000000000e+00
1.994610000000000127e+01,0.000000000000000000e+00
1.996651999999999916e+01,0.000000000000000000e+00
1.998695000000000022e+01,0.000000000000000000e+00
2.000737000000000165e+01,0.000000000000000000e+00
2.002778999999999954e+01,0.000000000000000000e+00
2.004822000000000060e+01,1.700000000000000000e+01
2.006863999999999848e+01,2.000000000000000000e+01
2.008905999999999992e+01,0.000000000000000000e+00
2.010949000000000098e+01,6.000000000000000000e+00
2.012990999999999886e+01,1.800000000000000000e+01
2.015033000000000030e+01,0.000000000000000000e+00
2.017075000000000173e+01,0.000000000000000000e+00
2.019117999999999924e+01,0.000000000000000000e+00
2.021160000000000068e+01,0.000000000000000000e+00
2.023201999999999856e+01,2.100000000000000000e+01
2.025244999999999962e+01,0.000000000000000000e+00
2.027287000000000106e+01,0.000000000000000000e+00
2.029328999999999894e+01,0.000000000000000000e+00
2.031372000000000000e+01,2.700000000000000000e+01
2.033414000000000144e+01,0.000000000000000000e+00
2.035455999999999932e+01,0.000000000000000000e+00
2.037498000000000076e+01,1.300000000000000000e+01
2.039540999999999826e+01,6.000000000000000000e+00
2.041582999999999970e+01,0.000000000000000000e+00
2.043625000000000114e+01,1.600000000000000000e+01
